st,occupation,tot_emp,hr_mean,avg_mean
AL,Occupational Therapy Assistants,530,28.22,"58,700"
AL,Physical Therapist Assistants,"1,830",27.60,"57,410"
AL,Physical Therapist Aides,"1,050",12.59,"26,190"
AL,Massage Therapists,480,16.77,"34,890"
AL,Dental Assistants,"3,160",16.18,"33,650"
AL,Medical Assistants,"9,180",13.68,"28,460"
AL,Medical Equipment Preparers,"1,490",13.52,"28,120"
AL,Medical Transcriptionists,550,16.24,"33,780"
AL,Pharmacy Aides,780,10.43,"21,700"
AL,Veterinary Assistants and Laboratory Animal Caretakers,"1,180",11.52,"23,950"
AL,Phlebotomists,"2,140",15.10,"31,420"
AL,"Healthcare Support Workers, All Other","1,240",15.04,"31,290"
AL,Protective Service Occupations,"44,520",18.49,"38,450"
AL,First-Line Supervisors of Correctional Officers,460,27.23,"56,630"
AL,First-Line Supervisors of Police and Detectives,"1,160",33.08,"68,810"
AL,First-Line Supervisors of Fire Fighting and Prevention Workers,"1,080",30.38,"63,180"
AL,"First-Line Supervisors of Protective Service Workers, All Other",620,23.45,"48,780"
AL,Firefighters,"5,680",20.07,"41,740"
AL,Fire Inspectors and Investigators,140,33.00,"68,630"
AL,Forest Fire Inspectors and Prevention Specialists,40,16.82,"34,990"
AL,Bailiffs,90,15.61,"32,460"
AL,Correctional Officers and Jailers,"4,680",17.67,"36,760"
AL,Detectives and Criminal Investigators,"1,270",31.13,"64,750"
AL,Fish and Game Wardens,140,25.30,"52,620"
AL,Parking Enforcement Workers,60,16.73,"34,790"
AL,Police and Sheriff's Patrol Officers,"11,410",22.08,"45,930"
AL,Animal Control Workers,230,15.62,"32,500"
AL,Private Detectives and Investigators,200,26.06,"54,200"
AL,Gaming Surveillance Officers and Gaming Investigators,70,17.49,"36,370"
AL,Security Guards,"13,840",12.73,"26,470"
AL,Crossing Guards,430,10.95,"22,770"
AL,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","1,240",9.28,"19,300"
AL,Transportation Security Screeners,240,19.16,"39,850"
AL,"Protective Service Workers, All Other","1,430",12.68,"26,370"
AL,Food Preparation and Serving Related Occupations,"178,590",10.28,"21,380"
AL,Chefs and Head Cooks,880,23.25,"48,360"
AL,First-Line Supervisors of Food Preparation and Serving Workers,"17,190",15.19,"31,600"
AL,"Cooks, Fast Food","6,160",9.24,"19,220"
AL,"Cooks, Institution and Cafeteria","11,080",10.63,"22,100"
AL,"Cooks, Restaurant","14,930",11.58,"24,080"
AL,"Cooks, Short Order","2,520",10.53,"21,910"
AL,"Cooks, All Other",**,15.16,"31,540"
AL,Food Preparation Workers,"8,520",10.58,"22,010"
AL,Bartenders,"4,440",10.50,"21,840"
AL,"Combined Food Preparation and Serving Workers, Including Fast Food","62,030",8.98,"18,680"
AL,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","3,940",9.70,"20,180"
AL,Waiters and Waitresses,"34,020",9.50,"19,750"
AL,"Food Servers, Nonrestaurant","1,960",10.36,"21,550"
AL,Dining Room and Cafeteria Attendants and Bartender Helpers,"2,350",9.34,"19,430"
AL,Dishwashers,"3,930",9.62,"20,020"
AL,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","4,170",9.22,"19,180"
AL,"Food Preparation and Serving Related Workers, All Other",330,11.46,"23,840"
AL,Building and Grounds Cleaning and Maintenance Occupations,"58,310",12.29,"25,560"
AL,First-Line Supervisors of Housekeeping and Janitorial Workers,"2,210",19.39,"40,340"
AL,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers","1,710",20.70,"43,060"
AL,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","28,770",11.39,"23,700"
AL,Maids and Housekeeping Cleaners,"9,840",9.70,"20,180"
AL,Pest Control Workers,"2,140",15.70,"32,650"
AL,Landscaping and Groundskeeping Workers,"12,700",12.66,"26,340"
AL,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",270,15.93,"33,140"
AL,Tree Trimmers and Pruners,300,20.20,"42,020"
AL,"Grounds Maintenance Workers, All Other",320,28.15,"58,550"
AL,Personal Care and Service Occupations,"49,460",11.17,"23,220"
AL,First-Line Supervisors of Gaming Workers,220,16.13,"33,540"
AL,First-Line Supervisors of Personal Service Workers,"2,580",17.17,"35,710"
AL,Animal Trainers,**,15.82,"32,900"
AL,Nonfarm Animal Caretakers,"2,990",10.23,"21,280"
AL,Gaming and Sports Book Writers and Runners,200,11.38,"23,670"
AL,Motion Picture Projectionists,30,10.10,"21,000"
AL,"Ushers, Lobby Attendants, and Ticket Takers",580,9.07,"18,870"
AL,Amusement and Recreation Attendants,"2,340",10.26,"21,350"
AL,Costume Attendants,30,15.95,"33,170"
AL,"Locker Room, Coatroom, and Dressing Room Attendants",60,11.80,"24,540"
AL,Embalmers,190,19.61,"40,780"
AL,Funeral Attendants,530,11.62,"24,170"
AL,"Morticians, Undertakers, and Funeral Directors",460,19.63,"40,840"
AL,Barbers,170,18.92,"39,350"
AL,"Hairdressers, Hairstylists, and Cosmetologists","4,450",11.29,"23,490"
AL,Manicurists and Pedicurists,380,11.78,"24,500"
AL,Shampooers,**,9.64,"20,040"
AL,Skincare Specialists,320,14.73,"30,640"
AL,Baggage Porters and Bellhops,240,9.79,"20,360"
AL,Concierges,150,12.74,"26,500"
AL,Tour and Travel Guides,390,11.74,"24,410"
AL,Childcare Workers,"7,490",9.58,"19,920"
AL,Personal Care Aides,"14,310",9.25,"19,250"
AL,Fitness Trainers and Aerobics Instructors,"2,800",16.66,"34,660"
AL,Recreation Workers,"5,470",11.34,"23,590"
AL,Residential Advisors,"2,790",12.02,"25,000"
AL,"Personal Care and Service Workers, All Other",120,14.68,"30,530"
AL,Sales and Related Occupations,"211,600",16.92,"35,190"
AL,First-Line Supervisors of Retail Sales Workers,"21,110",20.23,"42,080"
AL,First-Line Supervisors of Non-Retail Sales Workers,"3,130",38.10,"79,250"
AL,Cashiers,"65,540",9.91,"20,620"
AL,Counter and Rental Clerks,"7,020",13.14,"27,330"
AL,Parts Salespersons,"4,110",15.72,"32,700"
AL,Retail Salespersons,"63,530",12.87,"26,770"
AL,Advertising Sales Agents,"1,410",20.94,"43,560"
